[2023-11-19 05:33:38.707] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:21 | Indexed log message in Elasticsearch with ID: 655950da67c227ac79cab9ef
[2023-11-19 05:33:38.769] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:8 | Processing log message: {'level': 'error', 'message': 'Failed to connect to DB', 'resourceId': 'server-1234', 'timestamp': '2023-11-19T05:28:31.498381', 'traceId': 'abc-xyz-123', 'spanId': 'span-456', 'commit': '5e5342f', 'metadata': {'parentResourceId': 'server-0987'}}
[2023-11-19 05:33:38.820] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:12 | Inserted log message into MongoDB with ID: 655950da67c227ac79cab9f0
[2023-11-19 05:33:38.860] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:21 | Indexed log message in Elasticsearch with ID: 655950da67c227ac79cab9f0
[2023-11-19 05:33:38.933] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:8 | Processing log message: {'level': 'error', 'message': 'Failed to connect to DB', 'resourceId': 'server-1234', 'timestamp': '2023-11-19T05:28:31.498381', 'traceId': 'abc-xyz-123', 'spanId': 'span-456', 'commit': '5e5342f', 'metadata': {'parentResourceId': 'server-0987'}}
[2023-11-19 05:33:38.974] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:12 | Inserted log message into MongoDB with ID: 655950da67c227ac79cab9f1
[2023-11-19 05:33:39.000] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:21 | Indexed log message in Elasticsearch with ID: 655950da67c227ac79cab9f1
[2023-11-19 05:33:39.085] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:8 | Processing log message: {'level': 'error', 'message': 'Failed to connect to DB', 'resourceId': 'server-1234', 'timestamp': '2023-11-19T05:28:31.498381', 'traceId': 'abc-xyz-123', 'spanId': 'span-456', 'commit': '5e5342f', 'metadata': {'parentResourceId': 'server-0987'}}
[2023-11-19 05:33:39.137] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:12 | Inserted log message into MongoDB with ID: 655950db67c227ac79cab9f2
[2023-11-19 05:33:39.157] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:21 | Indexed log message in Elasticsearch with ID: 655950db67c227ac79cab9f2
[2023-11-19 05:33:39.261] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:8 | Processing log message: {'level': 'error', 'message': 'Failed to connect to DB', 'resourceId': 'server-1234', 'timestamp': '2023-11-19T05:28:31.498381', 'traceId': 'abc-xyz-123', 'spanId': 'span-456', 'commit': '5e5342f', 'metadata': {'parentResourceId': 'server-0987'}}
[2023-11-19 05:33:39.315] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:12 | Inserted log message into MongoDB with ID: 655950db67c227ac79cab9f3
[2023-11-19 05:33:39.353] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:21 | Indexed log message in Elasticsearch with ID: 655950db67c227ac79cab9f3
[2023-11-19 05:33:39.434] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:8 | Processing log message: {'level': 'error', 'message': 'Failed to connect to DB', 'resourceId': 'server-1234', 'timestamp': '2023-11-19T05:28:31.498381', 'traceId': 'abc-xyz-123', 'spanId': 'span-456', 'commit': '5e5342f', 'metadata': {'parentResourceId': 'server-0987'}}
[2023-11-19 05:33:39.475] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:12 | Inserted log message into MongoDB with ID: 655950db67c227ac79cab9f4
[2023-11-19 05:33:39.518] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:21 | Indexed log message in Elasticsearch with ID: 655950db67c227ac79cab9f4
[2023-11-19 05:33:39.598] | INFO | services.log_ingestor_services | process_log_message | log_ingestor_services.py:8 | Processing log message: {'level': 'error', 'message': 'Failed to connect to DB', 'resourceId': 'server-1234', 'timestamp': '2023-11-19T05:28:31.498381', 'traceId': 'abc-xyz-123', 'spanId': 'span-456', 'commit': '5e5342f', 'metadata': {'parentResourceId': 'server-0987'}}
